group_id,timeslot_id,subject_id,teacher_id,room_id
G1,6,31901-2017,T07,R5306
G1,7,31901-2017,T07,R5306
G1,8,31901-2017,T07,R5306
G1,9,31901-2017,T07,R5306
G1,10,31901-2017,T07,R5306
G1,11,31901-2017,T07,R5306
G2,18,31901-2017,T07,R5306
G2,19,31901-2017,T07,R5306
G2,20,31901-2017,T07,R5306
G2,21,31901-2017,T07,R5306
G2,22,31901-2017,T07,R5306
G2,23,31901-2017,T07,R5306
G7,6,20901-2408,T13,R6301
G7,7,20901-2408,T13,R6301
G7,8,20901-2408,T13,R6301
G7,9,20901-2408,T13,R6301
G7,10,20901-2408,T13,R6301
G7,11,20901-2408,T13,R6301
G1,30,31901-2002,T01,R5306
G1,31,31901-2002,T01,R5306
G1,32,31901-2002,T01,R5306
G1,33,31901-2002,T01,R5306
G1,34,31901-2002,T01,R5306
G1,42,31901-2006,T03,R5306
G1,43,31901-2006,T03,R5306
G1,44,31901-2006,T03,R5306
G1,45,31901-2006,T03,R5306
G1,46,31901-2006,T03,R5306
G1,18,31901-2010,T04,R6405
G1,19,31901-2010,T04,R6405
G1,20,31901-2010,T04,R6405
G1,21,31901-2010,T04,R6405
G1,22,31901-2010,T04,R6405
G1,54,31901-2009,T04,R5306
G1,55,31901-2009,T04,R5306
G1,56,31901-2009,T04,R5306
G1,57,31901-2009,T04,R5306
G1,58,31901-2009,T04,R5306
G1,13,31901-2013,T08,R5306
G1,25,31901-2013,T08,R5306
G1,37,31901-2013,T08,R5306
G1,49,31901-2013,T08,R5306
G1,1,31901-2013,T08,R5306
G2,6,31901-2002,T01,R6405
G2,7,31901-2002,T01,R6405
G2,8,31901-2002,T01,R6405
G2,9,31901-2002,T01,R6405
G2,10,31901-2002,T01,R6405
G2,30,31901-2006,T03,R6405
G2,31,31901-2006,T03,R6405
G2,32,31901-2006,T03,R6405
G2,33,31901-2006,T03,R6405
G2,34,31901-2006,T03,R6405
G2,42,31901-2009,T04,R6405
G2,43,31901-2009,T04,R6405
G2,44,31901-2009,T04,R6405
G2,45,31901-2009,T04,R6405
G2,46,31901-2009,T04,R6405
G2,54,31901-2013,T08,R6405
G2,55,31901-2013,T08,R6405
G2,56,31901-2013,T08,R6405
G2,57,31901-2013,T08,R6405
G2,58,31901-2013,T08,R6405
G3,6,31901-2005,T03,R6201
G3,7,31901-2005,T03,R6201
G3,8,31901-2005,T03,R6201
G3,9,31901-2005,T03,R6201
G3,10,31901-2005,T03,R6201
G3,42,31901-2007,T01,R6201
G3,43,31901-2007,T01,R6201
G3,44,31901-2007,T01,R6201
G3,45,31901-2007,T01,R6201
G3,46,31901-2007,T01,R6201
G3,30,31901-2012,T04,R6201
G3,31,31901-2012,T04,R6201
G3,32,31901-2012,T04,R6201
G3,33,31901-2012,T04,R6201
G3,34,31901-2012,T04,R6201
G4,54,31901-2005,T03,R6201
G4,55,31901-2005,T03,R6201
G4,56,31901-2005,T03,R6201
G4,57,31901-2005,T03,R6201
G4,58,31901-2005,T03,R6201
G4,1,31901-2007,T01,R6405
G4,13,31901-2007,T01,R6405
G4,25,31901-2007,T01,R6405
G4,37,31901-2007,T01,R6405
G4,2,31901-2007,T01,R5306
G4,6,31901-2012,T04,R6203
G4,7,31901-2012,T04,R6203
G4,8,31901-2012,T04,R6203
G4,9,31901-2012,T04,R6203
G4,10,31901-2012,T04,R6203
G5,30,31900-0001,T07,R6301
G5,31,31900-0001,T07,R6301
G5,32,31900-0001,T07,R6301
G5,33,31900-0001,T07,R6301
G5,34,31900-0001,T07,R6301
G5,54,31900-0004,T01,R6203
G5,55,31900-0004,T01,R6203
G5,56,31900-0004,T01,R6203
G5,57,31900-0004,T01,R6203
G5,58,31900-0004,T01,R6203
G5,1,31901-2005,T03,R6201
G5,13,31901-2005,T03,R6201
G5,37,31901-2005,T03,R6201
G5,2,31901-2005,T03,R6405
G5,14,31901-2005,T03,R5306
G5,38,31901-2012,T04,R5306
G5,3,31901-2012,T04,R5306
G5,15,31901-2012,T04,R5306
G5,39,31901-2012,T04,R5306
G5,4,31901-2012,T04,R5306
G8,6,21901-2010,T18,R6404
G8,7,21901-2010,T18,R6404
G8,8,21901-2010,T18,R6404
G8,9,21901-2010,T18,R6404
G8,10,21901-2010,T18,R6404
G8,18,21901-2011,T05,R6404
G8,19,21901-2011,T05,R6404
G8,20,21901-2011,T05,R6404
G8,21,21901-2011,T05,R6404
G8,22,21901-2011,T05,R6404
G1,14,30001-1001,T09,R6405
G1,26,30001-1001,T09,R5306
G1,38,30001-1001,T09,R6405
G1,50,30001-1001,T09,R5306
G2,1,30001-1001,T09,R6301
G2,2,30001-1001,T09,R6301
G2,3,30001-1001,T09,R6301
G2,4,30001-1001,T09,R6301
G3,13,30001-1003,T07,R6301
G3,14,30001-1003,T07,R6301
G3,15,30001-1003,T07,R6301
G3,16,30001-1003,T07,R6301
G4,42,30001-1003,T07,R6301
G4,43,30001-1003,T07,R6301
G4,44,30001-1003,T07,R6301
G4,45,30001-1003,T07,R6301
G6,1,20901-2106,T05,R6404
G6,2,20901-2106,T05,R6404
G6,3,20901-2106,T05,R6404
G6,4,20901-2106,T05,R6404
G7,13,20901-2407,T13,R6203
G7,14,20901-2407,T13,R6203
G7,15,20901-2407,T13,R6203
G7,16,20901-2407,T13,R6203
G1,2,30000-1501,T02,R6201
G1,3,30000-1501,T02,R6201
G1,4,30000-1501,T02,R6201
G2,25,30000-1501,T02,R6201
G2,26,30000-1501,T02,R6201
G2,27,30000-1501,T02,R6201
G3,49,30000-1201,T10,R6405
G3,50,30000-1201,T10,R6405
G3,51,30000-1201,T10,R6405
G3,54,30000-1404,T11,R5201
G3,55,30000-1404,T11,R5201
G3,56,30000-1404,T11,R5201
G3,18,30001-1002,T12,R5201
G3,19,30001-1002,T12,R5201
G3,20,30001-1002,T12,R5201
G4,14,30000-1201,T10,R6201
G4,15,30000-1201,T10,R6201
G4,16,30000-1201,T10,R6201
G4,26,30000-1404,T11,R5201
G4,27,30000-1404,T11,R5201
G4,28,30000-1404,T11,R5201
G4,30,30001-1002,T12,R5201
G4,31,30001-1002,T12,R5201
G4,32,30001-1002,T12,R5201
G5,42,30000-1201,T10,R6203
G5,43,30000-1201,T10,R6203
G5,44,30000-1201,T10,R6203
G5,6,30000-1404,T11,R5201
G5,7,30000-1404,T11,R5201
G5,8,30000-1404,T11,R5201
G5,25,30001-1002,T12,R10401
G5,26,30001-1002,T12,R10401
G5,27,30001-1002,T12,R10401
G5,49,31900-1002,T04,R6201
G5,50,31900-1002,T04,R6201
G5,51,31900-1002,T04,R6201
G6,13,20001-1003,T15,R6404
G6,14,20001-1003,T15,R6404
G6,15,20001-1003,T15,R6404
G6,26,20901-2009,T08,R6404
G6,27,20901-2009,T08,R6404
G6,28,20901-2009,T08,R6404
G6,37,20901-2107,T13,R6404
G6,38,20901-2107,T13,R6404
G6,39,20901-2107,T13,R6404
G7,25,20001-1003,T15,R6301
G7,26,20001-1003,T15,R6301
G7,27,20001-1003,T15,R6301
G7,37,20901-2406,T18,R6301
G7,38,20901-2406,T18,R6301
G7,39,20901-2406,T18,R6301
G7,50,20901-9203,T08,R6301
G7,51,20901-9203,T08,R6301
G7,52,20901-9203,T08,R6301
G8,49,21900-1004,T18,R6404
G8,50,21900-1004,T18,R6404
G8,51,21900-1004,T18,R6404
G8,30,21901-2012,T13,R6404
G8,31,21901-2012,T13,R6404
G8,32,21901-2012,T13,R6404
G8,42,21901-2017,T05,R6404
G8,43,21901-2017,T05,R6404
G8,44,21901-2017,T05,R6404
G1,15,30000-1202,T06,R6405
G1,16,30000-1202,T06,R6405
G1,27,30000-2004,T07,R5306
G1,28,30000-2004,T07,R5306
G2,37,30000-1202,T06,R6203
G2,38,30000-1202,T06,R6203
G2,49,30000-2004,T07,R6203
G2,50,30000-2004,T07,R6203
G3,26,30000-2002,T01,R6405
G3,27,30000-2002,T01,R6405
G4,18,30000-2002,T01,R6201
G4,19,30000-2002,T01,R6201
G5,21,30000-2002,T01,R6201
G5,22,30000-2002,T01,R6201
G6,54,20901-2007,T18,R6404
G6,55,20901-2007,T18,R6404
G6,56,20901-8503,T07,R6404
G6,57,20901-8503,T07,R6404
G7,30,20000-1208,T16,R6203
G7,31,20000-1208,T16,R6203
G7,42,20000-1402,T17,R5201
G7,43,20000-1402,T17,R5201
G7,54,20901-8503,T07,R6301
G7,55,20901-8503,T07,R6301
G7,18,20000-2007,T18,R6301
G7,19,20000-2007,T18,R6301
G5,40,31900-1001,T07,R5201